"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C7,C8,C5,C3,C6,C2";"C_1206_3216Metric";6;"10uF";;;
2;"M1,M3,M2,M4";"JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical";4;"Motor_DC_ALT";;;
3;"C1";"C_1206_3216Metric";1;"C";;;
4;"C4";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"100n";;;
5;"C13,C12,C14,C11";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"10µ";;;
6;"U7,U2";"SOT-223-3_TabPin2";2;"AZ1117-3.3";;;
7;"J6";"PinHeader_1x03_P1.27mm_Vertical";1;"Hall-M4";;;
8;"U3";"TO-252-2";1;"AZ1117-5.0";;;
9;"R2,R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"5.1K";;;
10;"D1";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"PWR_LED";;;
11;"U9";"SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.514x3.2mm";1;"LM358_DFN";;;
12;"R7,R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"R_LED";;;
13;"RV1";"PinHeader_1x03_P2.00mm_Vertical";1;"R_Potentiometer_Small";;;
14;"U6";"SOP65P640X120-20N";1;"INA4181A3IPWR";;;
15;"J2";"JST-ZH-2_PIN";1;"CAM";;;
16;"R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10K";;;
17;"SW3";"PinHeader_1x02_P2.00mm_Vertical";1;"PWR_SW";;;
18;"U10,U5,U11,U8";"ZXBM5210";4;"ZXBM5210";;;
19;"SW2";"SW_Push_1P1T_NO_6x6mm_H9.5mm";1;"BOOT";;;
20;"J7";"PinHeader_1x03_P1.27mm_Vertical";1;"Hall-M3";;;
21;"BZ1";"MagneticBuzzer_Kobitone_254-EMB73-RO";1;"AC-703R-P4";;;
22;"Rsense1,Rsense2,Rsense3,Rsense4";"R_1206_3216Metric";4;"R_Small";;;
23;"R_bat1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"90k";;;
24;"U1";"ESP32-S3-WROOM-1";1;"ESP32-S3-WROOM-1-N8";;;
25;"J1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0";;;
26;"R6,R5";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"R_Small";;;
27;"C10";"C_0603_1608Metric";1;"C_Small";;;
28;"SW1";"SW_Push_1P1T_NO_6x6mm_H9.5mm";1;"RST";;;
29;"BT1";"JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical";1;"Battery";;;
30;"J5";"PinHeader_1x03_P1.27mm_Vertical";1;"Hall-M2";;;
31;"J3";"PinSocket_1x03_P2.54mm_Vertical";1;"Servo";;;
32;"D2";"LED_D3.0mm";1;"RED";;;
33;"J4";"PinHeader_1x03_P1.27mm_Vertical";1;"Hall-M1";;;
34;"R_bat2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"50k";;;
35;"JP1";"SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm";1;"SolderJumper_3_Bridged12";;;
